,corr,pval,len,factor,latent
98,-0.07190666528070418,0.014599445212873036,1153,F2,Latent_49
99,0.02031055655665904,0.4908325184444602,1153,F2,Latent_50
100,-0.022274483904029297,0.4498755774129555,1153,F3,Latent_1
101,0.07088388036678825,0.016069177416776936,1153,F3,Latent_2
102,0.026462550403550163,0.3693236143374157,1153,F3,Latent_3
103,-0.019656919729503928,0.5048948245847444,1153,F3,Latent_4
104,-0.012800632343357434,0.6641412313132714,1153,F3,Latent_5
105,-0.0003821925809580941,0.9896568339333065,1153,F3,Latent_6
106,-0.029151348063441083,0.3226653826565532,1153,F3,Latent_7
107,0.024578290151694267,0.4043950827255681,1153,F3,Latent_8
108,-0.06026692706112408,0.040750934997070665,1153,F3,Latent_9
109,0.015478168347428491,0.599558307017695,1153,F3,Latent_10
110,-0.06951373815591719,0.018240768955710307,1153,F3,Latent_11
111,0.036317239945140974,0.21785504134196867,1153,F3,Latent_12
112,0.05692832803226419,0.053295282174344656,1153,F3,Latent_13
113,0.005057181955714902,0.8638025092198003,1153,F3,Latent_14
114,0.021698600962720534,0.46168079544218593,1153,F3,Latent_15
115,0.04905433538737343,0.09593720639636062,1153,F3,Latent_16
116,-0.0591935086871032,0.044479028262619576,1153,F3,Latent_17
117,-0.01764982961841181,0.5493652148977215,1153,F3,Latent_18
118,-0.05075548274184713,0.08494518702575973,1153,F3,Latent_19
119,0.0035779619483849844,0.9034048197543784,1153,F3,Latent_20
120,0.03680900334909867,0.2116838474433305,1153,F3,Latent_21
121,0.04009996064764814,0.17360890041446916,1153,F3,Latent_22
122,-0.034888401514184,0.23651566176904415,1153,F3,Latent_23
123,-0.009022247530043177,0.7595802446915871,1153,F3,Latent_24
124,0.037436540499296456,0.20399340244523584,1153,F3,Latent_25
125,-0.04055527746743149,0.16877162380809774,1153,F3,Latent_26
126,-0.10788478023925262,0.00024249102053387232,1153,F3,Latent_27
127,-0.022354792983548106,0.4482429798041378,1153,F3,Latent_28
128,-0.0045307063945203615,0.8778636934451038,1153,F3,Latent_29
129,-0.017942080881858825,0.5427718092306016,1153,F3,Latent_30
130,-0.02454837627953449,0.40496744581235666,1153,F3,Latent_31
131,-0.019077646407860888,0.5175322674240596,1153,F3,Latent_32
132,-0.020608257251719553,0.48449816973008347,1153,F3,Latent_33
