feature,importance
NIN,0.8476297091007677
PIK3CA,0.844473969139401
HOOK3,0.844184110702575
COL2A1,0.8430892885295902
NUMA1,0.8428937593448353
FGFR4,0.8424294707674117
CREB3L2,0.8416044011531599
IKZF3,0.8414896486300831
MLLT10,0.8376618428092226
RHPN2,0.8375172227857823
KDM6A,0.8352360103346959
ENPEP,0.8336630226104043
SETBP1,0.8323539217360861
CEBPA,0.828631080360848
FHIT,0.8285384319407127
CCNB1IP1,0.8235854536157292
H3-3B,0.8228290388101626
EZH2,0.8210992434354023
IKBKB,0.8210920261709315
HLA-B,0.819142192827663
AKT2,0.8186842090260924
NPM1,0.8186836549345096
PDGFRA,0.8162341093530346
FIP1L1,0.8156427871324177
SDHD,0.8154500041252821
CBFB,0.8125753400800805
PPARG,0.8097820052803086
SRC,0.8086393024884533
ZFHX3,0.8073899229606156
TSHR,0.8052373381504367
TRIM24,0.8051456643618029
RAF1,0.8047729383163363
ETV5,0.8035603695093458
ETV6,0.8024758147469085
PBRM1,0.799385575378585
KEL,0.7965754745031284
CTCF,0.7933450060485501
CCNE1,0.7933192093928985
IRAK1,0.7930102419906352
IFNGR1,0.7921104180944006
ARHGAP5,0.7920959462655719
EIF4A2,0.7915636551275296
ATG7,0.7914023879256832
CEP43,0.7843258913144576
SPEN,0.7827033122167913
ALB,0.7819950491919736
RABEP1,0.7785087888492382
MECOM,0.7780506251570658
SRGAP3,0.7766209881909492
YWHAE,0.775825998950974
HLA-A,0.775586857753072
SFMBT2,0.7745016664372065
NF1,0.7742546753097901
ZNF429,0.7732810866388535
FCRL4,0.770609577169422
ZNF780A,0.7688350502958302
PBX1,0.7681956920153654
SMARCA4,0.7674091781904757
AJUBA,0.7657002162222473
GTF2I,0.7653832113859171
RGL3,0.7649817860848752
BCLAF1,0.7626047446544556
TNFAIP3,0.7622723190943941
HSP90AA1,0.761851888022738
SH3GL1,0.7604114775917977
FOXA1,0.7588823276313318
ATP2B3,0.7556357607863041
RHOA,0.7555720270501278
ARID1A,0.7552279290079081
KIT,0.7551520688802114
PEG3,0.7550302030581367
PAFAH1B2,0.7549492754222626
TNFRSF17,0.7542354527867362
MTCP1,0.7534491250251569
CDK12,0.7530961763868388
SOX2,0.7527706065200771
TRAF3,0.7526294139966605
KDR,0.7525743108665673
ZEB1,0.7510749580508893
RNF213,0.7501080988706595
GATA3,0.7499147192163265
FANCD2,0.7494199798626193
H3-3A,0.7478639592770613
TMPRSS2,0.7452152754248345
SMAD2,0.7438634739828212
CD79B,0.7384093971446843
SETD2,0.7378253997681362
VHL,0.7353680378569806
NRP1,0.7338190879304839
SEPTIN9,0.73369762362143
CBL,0.7336167653350241
USP6,0.732587557658079
RGS7,0.7313944810990727
SOX17,0.7312438723812297
FH,0.7303823705890563
SGK1,0.730045788709914
BRAF,0.7296517380140864
QKI,0.7287985891640222
TGFBR2,0.7286107739702653
STK11,0.7277660764934399
EPHA3,0.7274762459595436
KIF5B,0.7273882889757068
AFDN,0.7249862846050791
BRIP1,0.7236925836953928
CNOT3,0.7235510546279753
NF2,0.7215250534035305
AKT3,0.7208294423093972
FBXW7,0.7192719804123975
ERCC4,0.7174679726192154
KCNJ5,0.716328012375387
PRKCD,0.7137172580507122
PREX2,0.7123709520097531
CLTC,0.7110065135697168
PRRX1,0.7100799291859377
CALR,0.709338249986988
WWTR1,0.7092028457747191
SUSD2,0.7091930447281296
POT1,0.7085636498603616
XPC,0.7077066914855064
NRG1,0.7074062538234378
NPRL2,0.7068877926120607
SLC34A2,0.7060017698743126
GNAI2,0.7039511293286627
MDM4,0.7030096760239766
BCL9L,0.7000873140906163
HIF1A,0.7000779979028826
TRIP11,0.6992240062902575
MYCL,0.6982872131370593
