,MOSA_outofsample,method,corr
166,In-sample,MOSA_corr,0.7899600252464447
167,In-sample,MOSA_corr,0.7758692675587326
168,In-sample,MOSA_corr,0.8198087418369353
169,In-sample,MOSA_corr,0.7442970099097603
170,In-sample,MOSA_corr,0.6631337603240783
171,In-sample,MOSA_corr,0.6380669450044261
172,In-sample,MOSA_corr,0.7369574968208035
173,In-sample,MOSA_corr,0.6521522403522719
174,In-sample,MOSA_corr,0.8470993081916237
175,In-sample,MOSA_corr,0.574069384573564
176,In-sample,MOSA_corr,0.776310468645196
177,In-sample,MOSA_corr,0.7771030249619207
178,In-sample,MOSA_corr,0.6765781971213796
179,In-sample,MOSA_corr,0.6947246790201134
180,In-sample,MOSA_corr,0.7343832088175666
181,In-sample,MOSA_corr,0.816990517713323
182,In-sample,MOSA_corr,0.7771882947204317
183,In-sample,MOSA_corr,0.8809761739116286
184,In-sample,MOSA_corr,0.6687156804019081
185,In-sample,MOSA_corr,0.7798070684850236
186,In-sample,MOSA_corr,0.7799628091344054
187,In-sample,MOSA_corr,0.8200618859058522
188,In-sample,MOSA_corr,0.6031133087909075
189,In-sample,MOSA_corr,0.6510681387188537
190,In-sample,MOSA_corr,0.7663235597855859
191,In-sample,MOSA_corr,0.7727866159544243
192,In-sample,MOSA_corr,0.825131623679963
193,In-sample,MOSA_corr,0.748038850611056
194,In-sample,MOSA_corr,0.7618324525844529
195,Out-of-sample,MOSA_corr,0.6129018493885546
196,In-sample,MOSA_corr,0.6480417471357593
197,In-sample,MOSA_corr,0.612165655405387
198,In-sample,MOSA_corr,0.5777776894609976
199,In-sample,MOSA_corr,0.8142822816712838
200,In-sample,MOSA_corr,0.7738237069600022
201,In-sample,MOSA_corr,0.7480377837924097
202,In-sample,MOSA_corr,0.744175998114339
203,In-sample,MOSA_corr,0.7506907240476881
204,In-sample,MOSA_corr,0.8055775384675383
205,In-sample,MOSA_corr,0.7502711016652488
206,In-sample,MOSA_corr,0.7615689531502906
207,In-sample,MOSA_corr,0.7070802032875594
208,In-sample,MOSA_corr,0.712961036941995
209,In-sample,MOSA_corr,0.732351875713982
210,In-sample,MOSA_corr,0.7404136432183537
211,In-sample,MOSA_corr,0.6731827176790973
212,In-sample,MOSA_corr,0.6819319944814708
213,In-sample,MOSA_corr,0.5620131727584547
214,In-sample,MOSA_corr,0.7222058485654632
215,In-sample,MOSA_corr,0.6574626534359862
216,In-sample,MOSA_corr,0.6765728565631648
217,In-sample,MOSA_corr,0.7615389218044224
218,In-sample,MOSA_corr,0.5323590503415111
219,In-sample,MOSA_corr,0.8445956785250185
220,Out-of-sample,MOSA_corr,0.5687543652436262
221,In-sample,MOSA_corr,0.6952900099471642
222,In-sample,MOSA_corr,0.6901700758113314
223,Out-of-sample,MOSA_corr,0.6227979148010219
224,In-sample,MOSA_corr,0.8287520212131926
225,In-sample,MOSA_corr,0.44169189137007864
226,In-sample,MOSA_corr,0.7621736619744026
227,In-sample,MOSA_corr,0.5772681844889427
228,In-sample,MOSA_corr,0.911405124725826
229,In-sample,MOSA_corr,0.7135340866535408
230,In-sample,MOSA_corr,0.7245220295883377
231,In-sample,MOSA_corr,0.7033899760632962
232,In-sample,MOSA_corr,0.8209280529237521
233,In-sample,MOSA_corr,0.6175350338681018
234,In-sample,MOSA_corr,0.5563957403027485
235,In-sample,MOSA_corr,0.6705208410135302
236,In-sample,MOSA_corr,0.6777476008703344
237,In-sample,MOSA_corr,0.4644465720020958
238,In-sample,MOSA_corr,0.6247180653851776
239,In-sample,MOSA_corr,0.45748626234194456
240,In-sample,MOSA_corr,0.690419334292689
241,In-sample,MOSA_corr,0.5278449250481976
242,Out-of-sample,MOSA_corr,0.5630561536200553
243,In-sample,MOSA_corr,0.6784128873168359
244,In-sample,MOSA_corr,0.7488651623610387
245,Out-of-sample,MOSA_corr,0.6709953162772815
246,In-sample,MOSA_corr,0.7092895023546741
247,In-sample,MOSA_corr,0.7069143505001014
248,In-sample,MOSA_corr,0.8354654172058387
249,In-sample,MOSA_corr,0.4496326582912763
250,In-sample,MOSA_corr,0.11827988889256155
251,In-sample,MOSA_corr,0.4437121308738555
252,In-sample,MOSA_corr,0.5493597303769666
253,In-sample,MOSA_corr,0.6751612525811683
254,In-sample,MOSA_corr,0.7078393103106316
255,In-sample,MOSA_corr,0.39279781442529604
256,In-sample,MOSA_corr,0.4544440463349848
257,In-sample,MOSA_corr,0.7901877104389552
258,In-sample,MOSA_corr,0.2867951707532365
259,In-sample,MOSA_corr,0.7429083063993722
260,In-sample,MOSA_corr,0.8559226865778966
261,In-sample,MOSA_corr,0.6893345126116379
262,In-sample,MOSA_corr,0.677150112079968
263,In-sample,MOSA_corr,0.5936440702349948
264,In-sample,MOSA_corr,0.5424061195234343
265,In-sample,MOSA_corr,0.7371924112960184
266,In-sample,MOSA_corr,0.6582187106367932
267,In-sample,MOSA_corr,0.7912384304911569
268,Out-of-sample,MOSA_corr,0.8062632484392722
269,In-sample,MOSA_corr,0.7350757760695086
270,Out-of-sample,MOSA_corr,0.5667626826889485
271,In-sample,MOSA_corr,0.6616844060515112
272,In-sample,MOSA_corr,0.6188751444702073
273,Out-of-sample,MOSA_corr,0.48619881175511936
274,In-sample,MOSA_corr,0.7062561289319476
275,In-sample,MOSA_corr,0.6444656043380833
276,In-sample,MOSA_corr,0.8307144844362133
277,In-sample,MOSA_corr,0.6264999736277637
278,Out-of-sample,MOSA_corr,0.6888554910527782
279,In-sample,MOSA_corr,0.7100897737064805
280,In-sample,MOSA_corr,0.7564805925611502
