train_total,train_mse,train_kl,val_total,val_mse,val_kl,epoch
0.36234507,0.3009797,0.06136534,0.35556418,0.2983374,0.057226732,294
0.36206734,0.30076727,0.061300162,0.35458493,0.29759708,0.056987785,295
0.36262116,0.30138254,0.061238643,0.35582793,0.29884115,0.056986753,296
0.36284384,0.30172342,0.061120395,0.35607764,0.29940724,0.056670394,297
0.3631905,0.30207476,0.061115753,0.35656253,0.29956287,0.05699963,298
0.3656707,0.3046556,0.06101509,0.36004454,0.30303273,0.057011824,299
0.36508766,0.30408314,0.061004505,0.357565,0.3008616,0.05670334,300
0.36327335,0.3023617,0.06091157,0.3564572,0.30033997,0.056117244,301
0.36184826,0.3011282,0.060720064,0.3547588,0.29834026,0.05641851,302
0.36240417,0.30165705,0.06074712,0.35706782,0.30054045,0.056527384,303
0.36086935,0.3003362,0.060533173,0.3544732,0.29807743,0.056395777,304
0.35783774,0.29729578,0.060541924,0.352035,0.29584906,0.056185942,305
0.3575142,0.2971718,0.060342338,0.35191345,0.29587564,0.056037813,306
0.35856313,0.2981433,0.060419872,0.35068458,0.29485044,0.05583413,307
0.35603172,0.2958175,0.060214225,0.34836695,0.29253572,0.055831216,308
0.35365397,0.2934986,0.060155336,0.34594655,0.29006085,0.05588568,309
0.35225886,0.29223722,0.0600216,0.3464804,0.29060254,0.05587788,310
0.3514646,0.29147005,0.059994556,0.3441314,0.2882449,0.055886477,311
0.35002863,0.2900946,0.05993393,0.34378415,0.28789696,0.055887204,312
0.349354,0.289442,0.059912007,0.34254336,0.2870708,0.05547258,313
0.34942585,0.28952292,0.059902932,0.34302688,0.2875336,0.055493303,314
0.35031506,0.2906566,0.059658416,0.34326586,0.28794834,0.055317562,315
0.35100386,0.29136297,0.059640884,0.3449269,0.2893372,0.055589654,316
0.3528769,0.29323232,0.059644535,0.3461767,0.29086494,0.055311758,317
0.35292715,0.2934213,0.059505865,0.3476548,0.29259732,0.055057492,318
0.35220972,0.29269508,0.0595147,0.3444071,0.28938413,0.055023033,319
0.34857863,0.28918162,0.05939703,0.34225363,0.2870666,0.055186994,320
0.34780917,0.28852075,0.059288375,0.34124157,0.28607953,0.05516205,321
0.34597963,0.28679326,0.059186373,0.33936644,0.2840156,0.055350836,322
0.3443298,0.2851191,0.05921072,0.33699125,0.28214544,0.054845765,323
0.34378207,0.2847546,0.059027404,0.3370417,0.28215533,0.054886363,324
0.34222433,0.28319475,0.059029542,0.33561656,0.28095898,0.054657612,325
0.3409806,0.2820667,0.05891389,0.3338105,0.27924776,0.054562785,326
0.34036064,0.28153968,0.058820993,0.33318752,0.27860418,0.05458327,327
0.33987352,0.2810647,0.0588089,0.3331814,0.2783515,0.054829925,328
0.33944604,0.28069976,0.05874629,0.33388773,0.27939415,0.05449358,329
0.34191006,0.28322917,0.058680907,0.33561578,0.28116977,0.054446016,330
0.34305322,0.2845238,0.058529455,0.3375196,0.2830261,0.054493494,331
0.34133738,0.28286752,0.058469813,0.3343829,0.27997947,0.054403458,332
0.3396509,0.28116775,0.05848318,0.33413038,0.27982154,0.05430888,333
0.34095314,0.2825786,0.05837457,0.33401963,0.2797132,0.054306418,334
0.33835092,0.28009573,0.058255214,0.33122152,0.27697036,0.05425117,335
0.3363557,0.27821895,0.058136776,0.33047032,0.27668995,0.05378039,336
0.3359544,0.27785948,0.05809495,0.32918897,0.2751951,0.053993884,337
0.33473048,0.2766595,0.058071014,0.32701835,0.2731746,0.053843744,338
0.3341031,0.27611965,0.05798341,0.3282177,0.27436292,0.053854756,339
0.3350507,0.2771003,0.05795043,0.3281525,0.27428386,0.05386862,340
0.33306324,0.27524757,0.05781563,0.32646388,0.27281275,0.053651113,341
0.33154127,0.2737403,0.05780096,0.3251174,0.27155805,0.05355939,342
0.33281752,0.2751256,0.0576919,0.3258534,0.27229032,0.053563066,343
0.33365533,0.27595553,0.057699814,0.32720184,0.27366957,0.053532332,344
0.3333229,0.27569342,0.057629474,0.32739693,0.27407518,0.05332168,345
0.33207846,0.27453914,0.05753933,0.32630518,0.27308995,0.05321523,346
0.33275655,0.2752613,0.057495203,0.32620087,0.27265245,0.053548433,347
0.33280817,0.27536413,0.057444114,0.3265906,0.27331245,0.053278144,348
0.33116806,0.2738315,0.05733661,0.32533544,0.2719977,0.05333778,349
0.32965577,0.2723796,0.057276163,0.3242567,0.27082172,0.053435013,350
0.3288196,0.27157912,0.057240475,0.32241884,0.269429,0.05298984,351
0.32766935,0.2705843,0.05708508,0.32035497,0.26740295,0.052952033,352
0.32668072,0.2696124,0.05706828,0.31924555,0.2662149,0.05303069,353
0.32642862,0.26939586,0.057032682,0.3205316,0.26754624,0.052985363,354
0.3267893,0.2699001,0.056889184,0.31964397,0.26665595,0.052988008,355
0.32516444,0.26821703,0.056947414,0.3186554,0.26564837,0.053007018,356
0.32476944,0.2680174,0.05675206,0.31782252,0.26512104,0.052701432,357
0.32456657,0.26785803,0.056708533,0.31798235,0.26522982,0.052752547,358
0.3225986,0.26588854,0.056710083,0.31571755,0.26314458,0.052572988,359
0.3207953,0.26427534,0.056519948,0.3138987,0.26147437,0.052424353,360
0.32054335,0.2639064,0.05663699,0.31380054,0.26130015,0.05250039,361
0.31920895,0.26272455,0.056484424,0.31347385,0.26076454,0.052709322,362
0.31970972,0.26324403,0.056465663,0.31283095,0.26025787,0.052573096,363
0.31920627,0.26283532,0.056370888,0.3127487,0.26060084,0.05214792,364
0.3196488,0.2633025,0.05634633,0.31269336,0.2604542,0.052239124,365
0.3200903,0.26374033,0.05634995,0.31331077,0.26106542,0.052245338,366
0.31974506,0.2634882,0.056256894,0.31342375,0.26119873,0.05222504,367
