y_id,x_id,beta_orig,beta_vae,fdr_orig,fdr_vae,diff_log10fdr,skew_orig,skew_mosa,target
SOX10,BMPR1A,0.0526125793065272,0.0683260549049789,0.2292446664370424,1.721180357369287e-07,6.124472859107656,-3.568809132211381,-3.268146329614104,4
SOX10,QKI,0.0567661118571418,0.0602221280124863,0.0825450566124478,8.618284341423042e-08,5.981270251137818,-3.568809132211381,-3.268146329614104,4
SOX10,FAS,0.0568292428335124,0.0651100987061389,0.1408628142621536,1.9955764105185905e-07,5.848727999249521,-3.568809132211381,-3.268146329614104,3
SOX10,AFDN,0.0560734600839065,0.0602886026295124,0.0886103259367994,1.7733005078881696e-07,5.698701995578137,-3.568809132211381,-3.268146329614104,3
KRAS,CRLF2,0.0332277322850074,0.0670670679047771,0.9837219284772026,2.951992758603715e-05,4.522757064696969,-2.2300086728401913,-1.7505270090683296,3
SOX10,SETD2,-0.0475756310912922,-0.061221470293906,0.503707483430042,9.315538623849178e-06,4.732970432250178,-3.568809132211381,-3.268146329614104,3
KRAS,BAP1,-0.086614617196628,-0.0874115429646488,0.4464901401378244,2.0799269427503567e-05,4.3317637921101095,-2.2300086728401913,-1.7505270090683296,3
HNF1B,BMPR1A,-0.0456161558596527,-0.0614307271099093,0.4731397142214232,5.270468462621203e-05,3.9531401842749943,-2.9210817573484498,-2.0325827067450586,4
KRAS,SDHD,-0.088499368527529,-0.0804825635257788,0.0365639333745696,4.963612690506801e-07,4.867255022660107,-2.2300086728401913,-1.7505270090683296,3
KRAS,MAP2K4,0.0698147006442333,0.0723743736653164,0.1383240775913555,7.745204125538957e-06,4.251864914704766,-2.2300086728401913,-1.7505270090683296,2
HNF1B,PPP2R1A,-0.0712583526297252,-0.0634438811297029,0.0374622264485708,6.581483128154141e-07,4.755269812415014,-2.9210817573484498,-2.0325827067450586,4
KRAS,RRAGC,0.0999935882090135,0.0874904012774141,0.1557001667118941,3.934168531438986e-06,4.597436117341201,-2.2300086728401913,-1.7505270090683296,3
KRAS,ZBTB16,-0.0726520433575776,-0.0750713320629334,0.1399733540404261,7.75439936567658e-06,4.256497205084995,-2.2300086728401913,-1.7505270090683296,3
KRAS,KCNJ5,-0.0904219637201944,-0.0798911705121927,0.0298678514403165,7.079864033310692e-07,4.625179065251482,-2.2300086728401913,-1.7505270090683296,2
KRAS,STIL,0.0930288717107936,0.0918333950635671,0.3474503915690172,2.830563594748002e-05,4.08901988875882,-2.2300086728401913,-1.7505270090683296,4
KRAS,MYCL,0.0960821455550657,0.0813468361007503,0.160534197679806,5.016865731770468e-06,4.505135083860255,-2.2300086728401913,-1.7505270090683296,3
CTNNB1,MYD88,-0.0726566458087498,-0.062601591635536,0.1507315210502786,4.487071594483031e-06,4.526241082617158,-3.058934743692637,-2.6342613566464346,2
CTNNB1,MLH1,-0.0778311294461242,-0.0639642352175471,0.1530311499412425,3.102144390345744e-06,4.693117833407216,-3.058934743692637,-2.6342613566464346,2
SOX10,RET,0.063965108564813,0.0629990579369638,0.091263849375131,1.961697026562592e-06,4.667666848924239,-3.568809132211381,-3.268146329614104,4
KRAS,P2RY8,0.0386785206711537,0.0618206311952602,0.9955557399284234,0.0007206795908844,3.1403233573188807,-2.2300086728401913,-1.7505270090683296,4
KRAS,ARID1A,0.1167995552396625,0.0972125507896985,0.0648058924188671,1.260062679961836e-06,4.7112223465162035,-2.2300086728401913,-1.7505270090683296,2
KRAS,FLI1,-0.0876533264779233,-0.076052749080738,0.0401414181426878,3.0099275206415034e-06,4.125036673601679,-2.2300086728401913,-1.7505270090683296,3
KRAS,POU2AF1,-0.08339186442364,-0.076337566893998,0.0543221565888581,3.3540320439345093e-06,4.209409795623339,-2.2300086728401913,-1.7505270090683296,3
HNF1B,ARID1A,0.0885011795025062,0.0713982008382941,0.0237904937888332,4.0983815540612085e-07,4.763791068019469,-2.9210817573484498,-2.0325827067450586,4
KRAS,ATM,-0.089311728557341,-0.0764921055943399,0.0200814019862196,1.0203372034629428e-06,4.294050307712837,-2.2300086728401913,-1.7505270090683296,2
KRAS,TAL1,0.1014688366664389,0.0907429181683172,0.2222985807829001,5.2913600671389527e-05,3.6233693745854314,-2.2300086728401913,-1.7505270090683296,3
KRAS,MUTYH,0.1254274065338894,0.0966107570408758,0.0259197182471812,2.5737801971481434e-06,4.00305882128947,-2.2300086728401913,-1.7505270090683296,3
KRAS,CSF3R,0.1168535193251951,0.0938167950890949,0.0853385334233928,3.6824910348349007e-06,4.365003476854732,-2.2300086728401913,-1.7505270090683296,3
KRAS,MLH1,-0.1169109698646053,-0.0923438867855424,0.1825881610617449,1.7884383409041773e-05,4.008998642853689,-2.2300086728401913,-1.7505270090683296,2
KRAS,MPL,0.1029739673275037,0.0858920230267267,0.1199999926074025,1.2529881130761312e-05,3.981234268370544,-2.2300086728401913,-1.7505270090683296,3
KRAS,SFPQ,0.1197214205378909,0.092149993181231,0.0959347037921333,6.877018645225517e-06,4.1445755371459985,-2.2300086728401913,-1.7505270090683296,3
KRAS,PAFAH1B2,-0.0779070754947159,-0.0695465340500192,0.0680385831648359,1.4400480878880464e-05,3.6743782664459843,-2.2300086728401913,-1.7505270090683296,4
KRAS,NOTCH2,0.0937212970074607,0.0768554859536836,0.4499504565510517,1.665196285623959e-05,4.431699263336151,-2.2300086728401913,-1.7505270090683296,3
KRAS,BRCA2,-0.0607087869671505,-0.0640784423871281,0.1633510525869336,8.775040213612967e-05,3.2698728218930606,-2.2300086728401913,-1.7505270090683296,2
KRAS,MYD88,-0.1102137828901685,-0.0886917789244883,0.2065312692767587,3.0030417823250057e-05,3.837424439360304,-2.2300086728401913,-1.7505270090683296,3
KRAS,LCK,0.1149527520436342,0.0881540964377265,0.101363563159262,1.4409038084356072e-05,3.84724687934158,-2.2300086728401913,-1.7505270090683296,2
KRAS,DDX10,-0.0852973739239715,-0.0730585657627571,0.036961238740492,4.203801057352177e-06,3.944104362903021,-2.2300086728401913,-1.7505270090683296,3
KRAS,PTEN,-0.0756840875399891,-0.0683517641213666,0.2894113313321643,7.99322690800414e-05,3.5587933893687937,-2.2300086728401913,-1.7505270090683296,1
KRAS,FAS,-0.0808441405728048,-0.0772890581866823,0.3429620877245816,0.0002991635775458,3.059337396115601,-2.2300086728401913,-1.7505270090683296,3
KRAS,DUSP16,-0.0675907226435366,-0.0656571717523699,0.3072210189725974,0.0006684587336962,2.6623763233613666,-2.2300086728401913,-1.7505270090683296,2
KRAS,HIP1,-0.041752014461398,-0.064272360071155,0.7673694029169195,0.0052657884150077,2.163541074012489,-2.2300086728401913,-1.7505270090683296,3
KRAS,BMPR1A,-0.1029967770881152,-0.0868334271216757,0.1945059190088926,6.397687744359517e-05,3.482909782472804,-2.2300086728401913,-1.7505270090683296,2
KRAS,ETV6,-0.0640581079718582,-0.060868700689306,0.4014172421655227,0.0016376222495785,2.3893822926583166,-2.2300086728401913,-1.7505270090683296,3
KRAS,DCC,0.0990055566565963,0.0754139255802071,0.0977959115086936,8.851661339012487e-05,3.043295909253054,-2.2300086728401913,-1.7505270090683296,2
KRAS,BCL9L,-0.0715475609856532,-0.0646215496811644,0.1282534134226831,9.011527413626096e-05,3.1532705243513224,-2.2300086728401913,-1.7505270090683296,3
KRAS,JUN,0.0931504830335667,0.0773714936379885,0.2597956755422737,5.423149641820894e-05,3.680380329543492,-2.2300086728401913,-1.7505270090683296,2
