y_id,x_id,n_orig,beta_orig,lr_orig,covs_orig,pval_orig,fdr_orig,n_vae,beta_vae,lr_vae,covs_vae,pval_vae,fdr_vae,log10p_orig,log10p_vae,diff_log10p
USP7,LCK,706.0,0.0370212416507573,2.515477161544368,16.0,0.1127335054764515,0.582779541003804,1523.0,0.0766306284967524,37.67827099560509,19.0,8.342873199879186e-10,4.696203324211994e-07,0.9479469882933986,9.078684357040805,8.130737368747406
C19orf53,FLT4,706.0,-0.0424182433430289,9.984864240143452,16.0,0.0015783219125303,0.4141213949127318,1523.0,-0.052776663979072,46.00233888155344,19.0,1.1811189500505148e-11,3.324259284917174e-08,2.8018044139419427,10.927706362548063,8.12590194860612
BRAF,SATB1,706.0,-0.02977687160256,3.829247766913795,16.0,0.0503655319138083,0.6102065439641305,1523.0,-0.0580888884860506,38.90367502309618,19.0,4.4524161283424735e-10,6.265662596609947e-07,1.297866575075336,9.351404252738638,8.053537677663302
KNTC1,SFPQ,706.0,0.0365850081609075,6.20714703089061,16.0,0.0127235527445271,0.3681602388991254,1523.0,0.0503529599532707,41.49818297178808,19.0,1.179805350018335e-10,1.1068540525422013e-07,1.8953916055186033,9.92818963878378,8.032798033265177
H2AZ1,MYCN,706.0,-0.0373534646678974,8.177086279889409,16.0,0.0042422848351355,0.0814839776597885,1523.0,-0.0548615358475368,43.63030497416276,19.0,3.966489195984805e-11,6.202046578944018e-09,2.3724001754765287,10.401593724317568,8.02919354884104
KRTAP4-2,CASZ1,706.0,0.0423193649596225,9.15614175934934,16.0,0.0024788466231302,0.1938232709594823,1523.0,0.0509218679326706,44.37097835793793,19.0,2.716849734789857e-11,1.911643394641513e-08,2.6057503440627188,10.565934381146429,7.96018403708371
MAPK1,CTNNB1,706.0,-0.0333205241934411,4.918337593112938,16.0,0.0265730745713768,0.6883045547859998,1523.0,-0.0542804016804416,39.73209834995305,19.0,2.91298430483828e-10,4.099297162983671e-07,1.575558193721707,9.535661855345039,7.960103661623331
MDM2,BCL10,706.0,0.056209266360474,9.128094577529964,16.0,0.0025171374379955,0.2453151367463063,1523.0,0.082116908867863,44.33917647110775,19.0,2.7613449578831598e-11,2.2205158239891867e-08,2.599093070930185,10.558879336226681,7.959786265296496
MDM4,PIK3R1,706.0,-0.035878614611513,6.186663246921853,16.0,0.0128716662410267,0.3956476194018253,1523.0,-0.0557871970565226,40.99157381385703,19.0,1.5288695291216168e-10,2.620125339040512e-07,1.890365229906512,9.815629574888668,7.925264344982156
MDM2,SMARCE1,706.0,-0.0297622634293321,2.6085831797404357,16.0,0.1062866835595198,0.6838506241369219,1523.0,-0.0725186084113436,36.81867026567306,19.0,1.2964275838944571e-09,8.108434299713219e-07,0.9735211439328668,8.887251737123238,7.913730593190371
